onset	duration	trial_type	response_time	correctness	StimVar	Rsponse	Stimulus	cond
0.0	2.0	congruent_correct	0.545	correct	2	1	incongruent	cond001
10.0	2.0	congruent_correct	0.437	correct	1	1	congruent	cond001
20.0	2.0	incongruent_incorrect	0.481	incorrect	1	0	congruent	cond004
30.0	2.0	congruent_correct	0.397	correct	1	1	congruent	cond001
42.0	2.0	incongruent_correct	0.52	correct	2	1	incongruent	cond003
52.0	2.0	incongruent_correct	0.539	correct	1	1	congruent	cond003
64.0	2.0	congruent_correct	0.414	correct	2	1	incongruent	cond001
76.0	2.0	incongruent_correct	0.449	correct	2	1	incongruent	cond003
88.0	2.0	congruent_correct	0.372	correct	2	1	incongruent	cond001
102.0	2.0	incongruent_correct	0.484	correct	1	1	congruent	cond003
116.0	2.0	incongruent_correct	0.471	correct	1	1	congruent	cond003
130.0	2.0	incongruent_correct	0.497	correct	2	1	incongruent	cond003
140.0	2.0	incongruent_correct	0.565	correct	2	1	incongruent	cond003
150.0	2.0	congruent_correct	0.408	correct	1	1	congruent	cond001
164.0	2.0	congruent_correct	0.386	correct	2	1	incongruent	cond001
174.0	2.0	congruent_correct	0.414	correct	1	1	congruent	cond001
184.0	2.0	incongruent_correct	0.497	correct	2	1	incongruent	cond003
196.0	2.0	congruent_correct	0.436	correct	2	1	incongruent	cond001
208.0	2.0	incongruent_correct	0.488	correct	2	1	incongruent	cond003
220.0	2.0	congruent_correct	0.433	correct	1	1	congruent	cond001
232.0	2.0	incongruent_correct	0.524	correct	1	1	congruent	cond003
246.0	2.0	incongruent_correct	0.447	correct	1	1	congruent	cond003
260.0	2.0	congruent_correct	0.41	correct	1	1	congruent	cond001
274.0	2.0	congruent_correct	0.403	correct	2	1	incongruent	cond001
