onset	duration	trial_type	response_time	correctness	StimVar	Rsponse	Stimulus	cond
0.0	2.0	congruent_correct	0.964	correct	1	1	congruent	cond001
10.0	2.0	congruent_correct	0.774	correct	1	1	congruent	cond001
20.0	2.0	congruent_correct	0.634	correct	1	1	congruent	cond001
32.0	2.0	incongruent_correct	0.951	correct	2	1	incongruent	cond003
42.0	2.0	incongruent_correct	0.769	correct	2	1	incongruent	cond003
52.0	2.0	congruent_correct	0.54	correct	1	1	congruent	cond001
64.0	2.0	incongruent_correct	0.711	correct	2	1	incongruent	cond003
76.0	2.0	incongruent_correct	0.674	correct	2	1	incongruent	cond003
88.0	2.0	incongruent_correct	0.606	correct	2	1	incongruent	cond003
102.0	2.0	congruent_correct	0.534	correct	1	1	congruent	cond001
116.0	2.0	incongruent_correct	0.681	correct	2	1	incongruent	cond003
130.0	2.0	congruent_correct	0.57	correct	1	1	congruent	cond001
144.0	2.0	congruent_correct	0.637	correct	1	1	congruent	cond001
154.0	2.0	incongruent_correct	0.793	correct	2	1	incongruent	cond003
164.0	2.0	incongruent_correct	0.851	correct	2	1	incongruent	cond003
174.0	2.0	congruent_correct	0.776	correct	1	1	congruent	cond001
184.0	2.0	incongruent_correct	0.748	correct	2	1	incongruent	cond003
196.0	2.0	incongruent_correct	0.886	correct	2	1	incongruent	cond003
208.0	2.0	congruent_correct	0.593	correct	1	1	congruent	cond001
220.0	2.0	incongruent_correct	0.732	correct	2	1	incongruent	cond003
234.0	2.0	congruent_correct	0.629	correct	1	1	congruent	cond001
246.0	2.0	congruent_correct	0.768	correct	1	1	congruent	cond001
260.0	2.0	incongruent_correct	0.825	correct	2	1	incongruent	cond003
274.0	2.0	congruent_correct	0.908	correct	1	1	congruent	cond001
