onset	duration	trial_type	response_time	correctness	StimVar	Rsponse	Stimulus	cond
0.0	2.0	congruent_correct	0.791	correct	1	1	congruent	cond001
10.0	2.0	incongruent_correct	1.185	correct	2	1	incongruent	cond003
20.0	2.0	congruent_correct	0.814	correct	1	1	congruent	cond001
30.0	2.0	incongruent_correct	0.731	correct	2	1	incongruent	cond003
40.0	2.0	congruent_correct	0.614	correct	1	1	congruent	cond001
52.0	2.0	congruent_correct	0.648	correct	1	1	congruent	cond001
64.0	2.0	incongruent_correct	0.866	correct	2	1	incongruent	cond003
76.0	2.0	incongruent_correct	0.703	correct	2	1	incongruent	cond003
88.0	2.0	incongruent_correct	0.76	correct	2	1	incongruent	cond003
102.0	2.0	congruent_correct	0.595	correct	1	1	congruent	cond001
116.0	2.0	incongruent_correct	0.757	correct	2	1	incongruent	cond003
130.0	2.0	congruent_correct	0.647	correct	1	1	congruent	cond001
144.0	2.0	congruent_correct	0.897	correct	1	1	congruent	cond001
154.0	2.0	incongruent_correct	0.787	correct	2	1	incongruent	cond003
164.0	2.0	congruent_correct	0.543	correct	1	1	congruent	cond001
174.0	2.0	incongruent_correct	0.635	correct	2	1	incongruent	cond003
184.0	2.0	incongruent_correct	1.022	correct	2	1	incongruent	cond003
196.0	2.0	incongruent_correct	0.649	correct	2	1	incongruent	cond003
208.0	2.0	congruent_correct	0.564	correct	1	1	congruent	cond001
220.0	2.0	congruent_correct	0.607	correct	1	1	congruent	cond001
232.0	2.0	incongruent_correct	0.794	correct	2	1	incongruent	cond003
246.0	2.0	incongruent_correct	0.548	correct	2	1	incongruent	cond003
260.0	2.0	congruent_correct	0.453	correct	1	1	congruent	cond001
274.0	2.0	congruent_correct	0.567	correct	1	1	congruent	cond001
