onset	duration	trial_type	response_time	correctness	StimVar	Rsponse	Stimulus	cond
0.0	2.0	incongruent_correct	0.889	correct	2	1	incongruent	cond003
10.0	2.0	congruent_correct	0.773	correct	1	1	congruent	cond001
20.0	2.0	incongruent_correct	0.897	correct	2	1	incongruent	cond003
30.0	2.0	congruent_correct	0.587	correct	1	1	congruent	cond001
40.0	2.0	incongruent_correct	0.711	correct	2	1	incongruent	cond003
52.0	2.0	incongruent_correct	0.756	correct	2	1	incongruent	cond003
64.0	2.0	congruent_correct	0.581	correct	1	1	congruent	cond001
76.0	2.0	congruent_correct	1.216	correct	1	1	congruent	cond001
88.0	2.0	congruent_correct	0.587	correct	1	1	congruent	cond001
102.0	2.0	congruent_correct	0.541	correct	1	1	congruent	cond001
116.0	2.0	congruent_correct	0.446	correct	1	1	congruent	cond001
126.0	2.0	congruent_correct	0.49	correct	1	1	congruent	cond001
136.0	2.0	incongruent_correct	0.862	correct	2	1	incongruent	cond003
150.0	2.0	incongruent_correct	0.651	correct	2	1	incongruent	cond003
164.0	2.0	incongruent_correct	0.69	correct	2	1	incongruent	cond003
174.0	2.0	incongruent_correct	0.694	correct	2	1	incongruent	cond003
184.0	2.0	incongruent_correct	1.186	correct	2	1	incongruent	cond003
196.0	2.0	incongruent_correct	0.876	correct	2	1	incongruent	cond003
208.0	2.0	congruent_correct	0.535	correct	1	1	congruent	cond001
220.0	2.0	incongruent_correct	0.689	correct	2	1	incongruent	cond003
234.0	2.0	incongruent_correct	0.828	correct	2	1	incongruent	cond003
248.0	2.0	congruent_correct	0.55	correct	1	1	congruent	cond001
260.0	2.0	congruent_correct	0.801	correct	1	1	congruent	cond001
274.0	2.0	congruent_correct	0.45	correct	1	1	congruent	cond001
