onset	duration	trial_type	response_time	correctness	StimVar	Rsponse	Stimulus	cond
0.0	2.0	incongruent_correct	0.497	correct	2	1	incongruent	cond003
10.0	2.0	congruent_correct	0.339	correct	1	1	congruent	cond001
20.0	2.0	congruent_correct	0.377	correct	1	1	congruent	cond001
30.0	2.0	incongruent_correct	0.492	correct	1	1	congruent	cond003
40.0	2.0	incongruent_correct	0.399	correct	2	1	incongruent	cond003
52.0	2.0	incongruent_correct	0.475	correct	1	1	congruent	cond003
64.0	2.0	congruent_correct	0.42	correct	2	1	incongruent	cond001
76.0	2.0	congruent_correct	0.337	correct	2	1	incongruent	cond001
88.0	2.0	congruent_correct	0.37	correct	1	1	congruent	cond001
102.0	2.0	incongruent_correct	0.453	correct	2	1	incongruent	cond003
116.0	2.0	incongruent_correct	0.455	correct	1	1	congruent	cond003
130.0	2.0	incongruent_correct	0.464	correct	2	1	incongruent	cond003
140.0	2.0	incongruent_correct	0.388	correct	2	1	incongruent	cond003
150.0	2.0	congruent_correct	0.36	correct	2	1	incongruent	cond001
164.0	2.0	congruent_correct	0.353	correct	1	1	congruent	cond001
174.0	2.0	congruent_correct	0.332	correct	1	1	congruent	cond001
184.0	2.0	incongruent_correct	0.513	correct	2	1	incongruent	cond003
196.0	2.0	congruent_correct	0.379	correct	1	1	congruent	cond001
208.0	2.0	congruent_correct	0.414	correct	2	1	incongruent	cond001
220.0	2.0	incongruent_correct	0.473	correct	1	1	congruent	cond003
232.0	2.0	incongruent_correct	0.42	correct	1	1	congruent	cond003
246.0	2.0	congruent_correct	0.382	correct	2	1	incongruent	cond001
260.0	2.0	incongruent_incorrect	0.335	incorrect	1	0	congruent	cond004
274.0	2.0	congruent_correct	0.419	correct	2	1	incongruent	cond001
