onset	duration	trial_type	response_time	correctness	StimVar	Rsponse	Stimulus	cond
0.0	2.0	congruent_correct	1.074	correct	1	1	congruent	cond001
10.0	2.0	incongruent_correct	1.039	correct	2	1	incongruent	cond003
20.0	2.0	incongruent_correct	0.954	correct	2	1	incongruent	cond003
30.0	2.0	incongruent_correct	0.965	correct	2	1	incongruent	cond003
42.0	2.0	congruent_correct	0.864	correct	1	1	congruent	cond001
52.0	2.0	congruent_correct	0.925	correct	1	1	congruent	cond001
64.0	2.0	congruent_correct	1.158	correct	1	1	congruent	cond001
76.0	2.0	incongruent_correct	1.097	correct	2	1	incongruent	cond003
88.0	2.0	incongruent_correct	0.94	correct	2	1	incongruent	cond003
102.0	2.0	congruent_correct	0.895	correct	1	1	congruent	cond001
116.0	2.0	incongruent_correct	0.888	correct	2	1	incongruent	cond003
130.0	2.0	incongruent_correct	1.217	correct	2	1	incongruent	cond003
140.0	2.0	incongruent_correct	1.094	correct	2	1	incongruent	cond003
150.0	2.0	congruent_correct	1.233	correct	1	1	congruent	cond001
164.0	2.0	congruent_correct	1.139	correct	1	1	congruent	cond001
174.0	2.0	congruent_correct	0.936	correct	1	1	congruent	cond001
184.0	2.0	congruent_correct	0.93	correct	1	1	congruent	cond001
196.0	2.0	incongruent_correct	1.365	correct	2	1	incongruent	cond003
208.0	2.0	incongruent_correct	1.089	correct	2	1	incongruent	cond003
220.0	2.0	congruent_correct	0.986	correct	1	1	congruent	cond001
232.0	2.0	incongruent_correct	1.069	correct	2	1	incongruent	cond003
246.0	2.0	congruent_correct	0.688	correct	1	1	congruent	cond001
260.0	2.0	incongruent_correct	0.93	correct	2	1	incongruent	cond003
274.0	2.0	congruent_correct	1.26	correct	1	1	congruent	cond001
