onset	duration	trial_type	response_time	correctness	StimVar	Rsponse	Stimulus	cond
0.0	2.0	incongruent_correct	1.204	correct	2	1	incongruent	cond003
10.0	2.0	incongruent_correct	0.808	correct	2	1	incongruent	cond003
20.0	2.0	incongruent_correct	0.699	correct	2	1	incongruent	cond003
32.0	2.0	congruent_correct	0.567	correct	1	1	congruent	cond001
42.0	2.0	congruent_correct	0.49	correct	1	1	congruent	cond001
52.0	2.0	incongruent_correct	0.837	correct	2	1	incongruent	cond003
64.0	2.0	congruent_correct	0.592	correct	1	1	congruent	cond001
76.0	2.0	congruent_correct	0.411	correct	1	1	congruent	cond001
88.0	2.0	incongruent_correct	0.646	correct	2	1	incongruent	cond003
102.0	2.0	congruent_correct	0.463	correct	1	1	congruent	cond001
116.0	2.0	congruent_correct	0.425	correct	1	1	congruent	cond001
130.0	2.0	incongruent_correct	0.603	correct	2	1	incongruent	cond003
144.0	2.0	incongruent_correct	0.59	correct	2	1	incongruent	cond003
154.0	2.0	congruent_correct	0.401	correct	1	1	congruent	cond001
164.0	2.0	congruent_correct	0.397	correct	1	1	congruent	cond001
174.0	2.0	incongruent_correct	0.624	correct	2	1	incongruent	cond003
184.0	2.0	congruent_correct	0.493	correct	1	1	congruent	cond001
196.0	2.0	congruent_correct	0.479	correct	1	1	congruent	cond001
208.0	2.0	congruent_correct	0.377	correct	1	1	congruent	cond001
222.0	2.0	congruent_correct	0.468	correct	1	1	congruent	cond001
236.0	2.0	incongruent_incorrect	0.382	incorrect	2	0	incongruent	cond004
248.0	2.0	incongruent_correct	0.769	correct	2	1	incongruent	cond003
260.0	2.0	incongruent_correct	0.699	correct	2	1	incongruent	cond003
274.0	2.0	incongruent_correct	0.597	correct	2	1	incongruent	cond003
