onset	duration	trial_type	response_time	correctness	StimVar	Rsponse	Stimulus	cond
0.0	2.0	incongruent_correct	0.821	correct	2	1	incongruent	cond003
10.0	2.0	congruent_correct	0.657	correct	1	1	congruent	cond001
20.0	2.0	congruent_correct	0.494	correct	1	1	congruent	cond001
30.0	2.0	incongruent_incorrect	0.544	incorrect	2	0	incongruent	cond004
40.0	2.0	congruent_correct	0.605	correct	1	1	congruent	cond001
52.0	2.0	incongruent_correct	0.654	correct	2	1	incongruent	cond003
64.0	2.0	congruent_correct	0.49	correct	1	1	congruent	cond001
76.0	2.0	incongruent_correct	0.484	correct	2	1	incongruent	cond003
88.0	2.0	incongruent_correct	0.544	correct	2	1	incongruent	cond003
102.0	2.0	congruent_correct	0.473	correct	1	1	congruent	cond001
116.0	2.0	incongruent_correct	0.523	correct	2	1	incongruent	cond003
130.0	2.0	congruent_correct	0.43	correct	1	1	congruent	cond001
144.0	2.0	incongruent_incorrect	0.39	incorrect	2	0	incongruent	cond004
154.0	2.0	incongruent_correct	0.603	correct	2	1	incongruent	cond003
164.0	2.0	congruent_correct	0.486	correct	1	1	congruent	cond001
174.0	2.0	congruent_correct	0.466	correct	1	1	congruent	cond001
184.0	2.0	congruent_correct	0.429	correct	1	1	congruent	cond001
196.0	2.0	congruent_correct	0.456	correct	1	1	congruent	cond001
208.0	2.0	congruent_correct	0.412	correct	1	1	congruent	cond001
222.0	2.0	incongruent_correct	0.758	correct	2	1	incongruent	cond003
234.0	2.0	incongruent_correct	0.528	correct	2	1	incongruent	cond003
246.0	2.0	incongruent_correct	0.539	correct	2	1	incongruent	cond003
260.0	2.0	incongruent_correct	0.548	correct	2	1	incongruent	cond003
274.0	2.0	congruent_correct	0.47	correct	1	1	congruent	cond001
