onset	duration	trial_type	response_time	correctness	StimVar	Rsponse	Stimulus	cond
0.0	2.0	incongruent_correct	0.854	correct	2	1	incongruent	cond003
10.0	2.0	congruent_correct	0.584	correct	1	1	congruent	cond001
20.0	2.0	incongruent_correct	0.828	correct	1	1	congruent	cond003
30.0	2.0	congruent_correct	0.743	correct	2	1	incongruent	cond001
40.0	2.0	congruent_correct	0.691	correct	1	1	congruent	cond001
52.0	2.0	incongruent_correct	0.829	correct	2	1	incongruent	cond003
64.0	2.0	incongruent_correct	0.786	correct	1	1	congruent	cond003
76.0	2.0	congruent_correct	0.635	correct	2	1	incongruent	cond001
88.0	2.0	congruent_correct	0.646	correct	1	1	congruent	cond001
102.0	2.0	congruent_correct	0.639	correct	1	1	congruent	cond001
116.0	2.0	incongruent_correct	0.802	correct	2	1	incongruent	cond003
130.0	2.0	incongruent_correct	0.756	correct	2	1	incongruent	cond003
144.0	2.0	congruent_correct	0.693	correct	1	1	congruent	cond001
154.0	2.0	congruent_correct	0.707	correct	1	1	congruent	cond001
164.0	2.0	incongruent_correct	0.87	correct	2	1	incongruent	cond003
174.0	2.0	incongruent_correct	0.905	correct	2	1	incongruent	cond003
184.0	2.0	incongruent_correct	0.684	correct	1	1	congruent	cond003
196.0	2.0	incongruent_correct	0.775	correct	2	1	incongruent	cond003
208.0	2.0	incongruent_correct	0.706	correct	2	1	incongruent	cond003
222.0	2.0	congruent_correct	0.684	correct	1	1	congruent	cond001
234.0	2.0	incongruent_correct	0.95	correct	2	1	incongruent	cond003
248.0	2.0	congruent_correct	0.608	correct	1	1	congruent	cond001
260.0	2.0	congruent_correct	0.699	correct	1	1	congruent	cond001
274.0	2.0	congruent_correct	0.653	correct	2	1	incongruent	cond001
