onset	duration	trial_type	response_time	correctness	StimVar	Rsponse	Stimulus	cond
0.0	2.0	incongruent_correct	0.841	correct	2	1	incongruent	cond003
10.0	2.0	incongruent_correct	0.558	correct	2	1	incongruent	cond003
20.0	2.0	congruent_correct	0.562	correct	2	1	incongruent	cond001
30.0	2.0	congruent_correct	0.685	correct	1	1	congruent	cond001
40.0	2.0	congruent_correct	0.464	correct	1	1	congruent	cond001
52.0	2.0	incongruent_correct	0.659	correct	2	1	incongruent	cond003
64.0	2.0	incongruent_correct	0.653	correct	1	1	congruent	cond003
76.0	2.0	congruent_correct	0.674	correct	1	1	congruent	cond001
88.0	2.0	incongruent_correct	0.987	correct	2	1	incongruent	cond003
102.0	2.0	congruent_correct	0.43	correct	1	1	congruent	cond001
116.0	2.0	congruent_correct	0.399	correct	1	1	congruent	cond001
130.0	2.0	congruent_correct	0.458	correct	2	1	incongruent	cond001
140.0	2.0	congruent_correct	0.551	correct	2	1	incongruent	cond001
150.0	2.0	incongruent_correct	1.225	correct	1	1	congruent	cond003
164.0	2.0	incongruent_correct	0.738	correct	1	1	congruent	cond003
174.0	2.0	incongruent_correct	0.621	correct	2	1	incongruent	cond003
184.0	2.0	incongruent_incorrect	0.0	incorrect	1	0	congruent	cond004
196.0	2.0	incongruent_correct	0.677	correct	1	1	congruent	cond003
208.0	2.0	congruent_correct	0.542	correct	1	1	congruent	cond001
220.0	2.0	congruent_correct	0.561	correct	1	1	congruent	cond001
232.0	2.0	incongruent_correct	1.077	correct	2	1	incongruent	cond003
246.0	2.0	congruent_correct	0.519	correct	2	1	incongruent	cond001
260.0	2.0	incongruent_correct	0.592	correct	2	1	incongruent	cond003
274.0	2.0	congruent_correct	0.611	correct	2	1	incongruent	cond001
