onset	duration	trial_type	response_time	correctness	StimVar	Rsponse	Stimulus	cond
0.0	2.0	incongruent_correct	0.584	correct	2	1	incongruent	cond003
10.0	2.0	congruent_correct	0.492	correct	1	1	congruent	cond001
20.0	2.0	congruent_correct	0.408	correct	1	1	congruent	cond001
30.0	2.0	congruent_correct	0.347	correct	1	1	congruent	cond001
42.0	2.0	incongruent_correct	0.502	correct	2	1	incongruent	cond003
52.0	2.0	congruent_correct	0.385	correct	1	1	congruent	cond001
64.0	2.0	incongruent_incorrect	0.356	incorrect	2	0	incongruent	cond004
76.0	2.0	incongruent_correct	0.511	correct	2	1	incongruent	cond003
88.0	2.0	incongruent_correct	0.579	correct	2	1	incongruent	cond003
102.0	2.0	congruent_correct	0.404	correct	1	1	congruent	cond001
116.0	2.0	congruent_correct	0.366	correct	1	1	congruent	cond001
130.0	2.0	incongruent_correct	0.488	correct	2	1	incongruent	cond003
144.0	2.0	incongruent_correct	0.488	correct	2	1	incongruent	cond003
154.0	2.0	congruent_correct	0.446	correct	1	1	congruent	cond001
164.0	2.0	incongruent_correct	0.498	correct	2	1	incongruent	cond003
174.0	2.0	congruent_correct	0.382	correct	1	1	congruent	cond001
184.0	2.0	incongruent_correct	0.585	correct	2	1	incongruent	cond003
196.0	2.0	incongruent_correct	0.46	correct	2	1	incongruent	cond003
208.0	2.0	incongruent_correct	0.51	correct	2	1	incongruent	cond003
222.0	2.0	congruent_correct	0.392	correct	1	1	congruent	cond001
234.0	2.0	congruent_correct	0.404	correct	1	1	congruent	cond001
246.0	2.0	congruent_correct	0.381	correct	1	1	congruent	cond001
260.0	2.0	congruent_correct	0.367	correct	1	1	congruent	cond001
274.0	2.0	incongruent_correct	0.48	correct	2	1	incongruent	cond003
