onset	duration	trial_type	response_time	correctness	StimVar	Rsponse	Stimulus	cond
0.0	2.0	incongruent_correct	0.933	correct	2	1	incongruent	cond003
10.0	2.0	congruent_correct	0.721	correct	1	1	congruent	cond001
20.0	2.0	congruent_correct	0.628	correct	2	1	incongruent	cond001
30.0	2.0	congruent_correct	0.783	correct	1	1	congruent	cond001
42.0	2.0	incongruent_correct	0.97	correct	2	1	incongruent	cond003
52.0	2.0	incongruent_correct	0.797	correct	1	1	congruent	cond003
64.0	2.0	congruent_correct	0.697	correct	1	1	congruent	cond001
76.0	2.0	incongruent_correct	0.772	correct	2	1	incongruent	cond003
88.0	2.0	congruent_correct	0.75	correct	1	1	congruent	cond001
102.0	2.0	congruent_correct	0.849	correct	1	1	congruent	cond001
116.0	2.0	congruent_correct	0.802	correct	2	1	incongruent	cond001
126.0	2.0	incongruent_correct	0.91	correct	1	1	congruent	cond003
140.0	2.0	incongruent_correct	0.935	correct	2	1	incongruent	cond003
154.0	2.0	incongruent_correct	0.97	correct	2	1	incongruent	cond003
164.0	2.0	incongruent_correct	0.845	correct	1	1	congruent	cond003
174.0	2.0	congruent_correct	0.752	correct	2	1	incongruent	cond001
184.0	2.0	incongruent_correct	0.813	correct	1	1	congruent	cond003
196.0	2.0	incongruent_correct	0.894	correct	1	1	congruent	cond003
208.0	2.0	congruent_correct	0.587	correct	1	1	congruent	cond001
220.0	2.0	incongruent_correct	0.733	correct	2	1	incongruent	cond003
234.0	2.0	congruent_correct	0.726	correct	2	1	incongruent	cond001
246.0	2.0	congruent_correct	0.632	correct	2	1	incongruent	cond001
260.0	2.0	incongruent_correct	0.828	correct	2	1	incongruent	cond003
274.0	2.0	congruent_correct	0.614	correct	1	1	congruent	cond001
