onset	duration	trial_type	response_time	correctness	StimVar	Rsponse	Stimulus	cond
0.0	2.0	incongruent_correct	1.067	correct	2	1	incongruent	cond003
10.0	2.0	congruent_correct	0.591	correct	1	1	congruent	cond001
20.0	2.0	congruent_correct	0.594	correct	1	1	congruent	cond001
30.0	2.0	incongruent_correct	0.781	correct	1	1	congruent	cond003
40.0	2.0	congruent_correct	0.586	correct	2	1	incongruent	cond001
52.0	2.0	congruent_correct	0.483	correct	1	1	congruent	cond001
64.0	2.0	incongruent_correct	0.814	correct	2	1	incongruent	cond003
76.0	2.0	incongruent_correct	0.76	correct	2	1	incongruent	cond003
88.0	2.0	incongruent_correct	0.654	correct	1	1	congruent	cond003
102.0	2.0	congruent_correct	0.575	correct	1	1	congruent	cond001
116.0	2.0	congruent_correct	0.512	correct	2	1	incongruent	cond001
130.0	2.0	incongruent_correct	0.794	correct	1	1	congruent	cond003
144.0	2.0	incongruent_correct	0.732	correct	2	1	incongruent	cond003
154.0	2.0	congruent_correct	0.664	correct	2	1	incongruent	cond001
164.0	2.0	congruent_correct	0.523	correct	1	1	congruent	cond001
174.0	2.0	incongruent_correct	0.735	correct	2	1	incongruent	cond003
184.0	2.0	incongruent_correct	0.682	correct	2	1	incongruent	cond003
196.0	2.0	incongruent_correct	0.748	correct	2	1	incongruent	cond003
208.0	2.0	congruent_correct	0.712	correct	2	1	incongruent	cond001
220.0	2.0	congruent_correct	0.562	correct	1	1	congruent	cond001
232.0	2.0	incongruent_correct	0.686	correct	1	1	congruent	cond003
246.0	2.0	congruent_correct	0.671	correct	1	1	congruent	cond001
260.0	2.0	congruent_correct	0.513	correct	1	1	congruent	cond001
274.0	2.0	incongruent_correct	0.795	correct	2	1	incongruent	cond003
