onset	duration	trial_type	response_time	correctness	StimVar	Rsponse	Stimulus	cond
0.0	2.0	incongruent_correct	1.106	correct	2	1	incongruent	cond003
10.0	2.0	congruent_correct	0.869	correct	1	1	congruent	cond001
20.0	2.0	incongruent_correct	1.081	correct	2	1	incongruent	cond003
30.0	2.0	congruent_correct	0.813	correct	1	1	congruent	cond001
40.0	2.0	incongruent_correct	0.977	correct	2	1	incongruent	cond003
52.0	2.0	congruent_correct	0.797	correct	1	1	congruent	cond001
64.0	2.0	incongruent_correct	0.869	correct	2	1	incongruent	cond003
76.0	2.0	congruent_correct	0.706	correct	1	1	congruent	cond001
88.0	2.0	incongruent_correct	0.805	correct	2	1	incongruent	cond003
102.0	2.0	incongruent_correct	0.669	correct	2	1	incongruent	cond003
116.0	2.0	congruent_correct	0.656	correct	1	1	congruent	cond001
130.0	2.0	congruent_correct	0.834	correct	1	1	congruent	cond001
144.0	2.0	congruent_correct	0.676	correct	1	1	congruent	cond001
154.0	2.0	congruent_correct	0.655	correct	1	1	congruent	cond001
164.0	2.0	incongruent_correct	0.938	correct	2	1	incongruent	cond003
174.0	2.0	incongruent_correct	0.823	correct	2	1	incongruent	cond003
184.0	2.0	incongruent_correct	0.763	correct	2	1	incongruent	cond003
196.0	2.0	incongruent_correct	0.837	correct	2	1	incongruent	cond003
208.0	2.0	congruent_correct	0.919	correct	1	1	congruent	cond001
220.0	2.0	congruent_correct	0.867	correct	1	1	congruent	cond001
232.0	2.0	incongruent_correct	1.661	correct	2	1	incongruent	cond003
246.0	2.0	congruent_correct	0.792	correct	1	1	congruent	cond001
260.0	2.0	incongruent_correct	0.761	correct	2	1	incongruent	cond003
274.0	2.0	congruent_correct	0.819	correct	1	1	congruent	cond001
