onset	duration	trial_type	response_time	correctness	StimVar	Rsponse	Stimulus	cond
0.0	2.0	congruent_correct	0.675	correct	1	1	congruent	cond001
10.0	2.0	incongruent_correct	0.679	correct	2	1	incongruent	cond003
20.0	2.0	incongruent_correct	0.667	correct	2	1	incongruent	cond003
30.0	2.0	incongruent_correct	0.703	correct	2	1	incongruent	cond003
42.0	2.0	congruent_correct	0.641	correct	1	1	congruent	cond001
52.0	2.0	congruent_correct	0.518	correct	1	1	congruent	cond001
64.0	2.0	congruent_correct	0.575	correct	1	1	congruent	cond001
76.0	2.0	incongruent_correct	0.721	correct	2	1	incongruent	cond003
88.0	2.0	incongruent_correct	0.573	correct	2	1	incongruent	cond003
102.0	2.0	congruent_correct	0.552	correct	1	1	congruent	cond001
116.0	2.0	incongruent_correct	0.81	correct	2	1	incongruent	cond003
130.0	2.0	congruent_correct	0.57	correct	1	1	congruent	cond001
144.0	2.0	incongruent_correct	0.652	correct	2	1	incongruent	cond003
154.0	2.0	congruent_correct	0.52	correct	1	1	congruent	cond001
164.0	2.0	incongruent_correct	0.66	correct	2	1	incongruent	cond003
174.0	2.0	congruent_correct	0.536	correct	1	1	congruent	cond001
184.0	2.0	incongruent_correct	0.643	correct	2	1	incongruent	cond003
196.0	2.0	incongruent_correct	0.805	correct	2	1	incongruent	cond003
208.0	2.0	congruent_correct	0.609	correct	1	1	congruent	cond001
220.0	2.0	congruent_correct	0.531	correct	1	1	congruent	cond001
232.0	2.0	incongruent_correct	0.653	correct	2	1	incongruent	cond003
246.0	2.0	congruent_correct	0.513	correct	1	1	congruent	cond001
260.0	2.0	incongruent_correct	0.707	correct	2	1	incongruent	cond003
274.0	2.0	congruent_correct	0.508	correct	1	1	congruent	cond001
