onset	duration	trial_type	response_time	correctness	StimVar	Rsponse	Stimulus	cond
0.0	2.0	incongruent_correct	0.935	correct	2	1	incongruent	cond003
10.0	2.0	congruent_correct	0.836	correct	1	1	congruent	cond001
20.0	2.0	congruent_correct	0.591	correct	1	1	congruent	cond001
30.0	2.0	incongruent_correct	0.873	correct	2	1	incongruent	cond003
40.0	2.0	incongruent_correct	0.63	correct	2	1	incongruent	cond003
52.0	2.0	incongruent_correct	0.784	correct	2	1	incongruent	cond003
64.0	2.0	congruent_correct	0.571	correct	1	1	congruent	cond001
76.0	2.0	congruent_correct	0.639	correct	1	1	congruent	cond001
88.0	2.0	incongruent_correct	0.72	correct	2	1	incongruent	cond003
102.0	2.0	congruent_correct	0.499	correct	1	1	congruent	cond001
116.0	2.0	congruent_correct	0.445	correct	1	1	congruent	cond001
130.0	2.0	congruent_correct	0.495	correct	1	1	congruent	cond001
140.0	2.0	incongruent_correct	0.755	correct	2	1	incongruent	cond003
154.0	2.0	congruent_correct	0.556	correct	1	1	congruent	cond001
164.0	2.0	incongruent_correct	0.721	correct	2	1	incongruent	cond003
174.0	2.0	incongruent_correct	0.699	correct	2	1	incongruent	cond003
184.0	2.0	incongruent_correct	0.664	correct	2	1	incongruent	cond003
196.0	2.0	congruent_correct	0.539	correct	1	1	congruent	cond001
208.0	2.0	congruent_correct	0.54	correct	1	1	congruent	cond001
220.0	2.0	incongruent_correct	0.672	correct	2	1	incongruent	cond003
232.0	2.0	congruent_correct	1.01	correct	1	1	congruent	cond001
246.0	2.0	incongruent_correct	0.604	correct	2	1	incongruent	cond003
260.0	2.0	incongruent_correct	0.654	correct	2	1	incongruent	cond003
274.0	2.0	congruent_correct	0.497	correct	1	1	congruent	cond001
