onset	duration	trial_type	response_time	correctness	StimVar	Rsponse	Stimulus	cond
0.0	2.0	congruent_correct	0.554	correct	2	1	incongruent	cond001
10.0	2.0	incongruent_correct	0.534	correct	1	1	congruent	cond003
20.0	2.0	congruent_correct	0.507	correct	1	1	congruent	cond001
30.0	2.0	congruent_correct	0.51	correct	2	1	incongruent	cond001
42.0	2.0	congruent_correct	0.585	correct	2	1	incongruent	cond001
54.0	2.0	incongruent_correct	0.731	correct	2	1	incongruent	cond003
64.0	2.0	incongruent_correct	0.648	correct	1	1	congruent	cond003
76.0	2.0	incongruent_correct	0.619	correct	1	1	congruent	cond003
88.0	2.0	congruent_correct	0.501	correct	2	1	incongruent	cond001
102.0	2.0	congruent_correct	0.471	correct	1	1	congruent	cond001
116.0	2.0	incongruent_correct	0.704	correct	1	1	congruent	cond003
130.0	2.0	congruent_correct	0.402	correct	1	1	congruent	cond001
140.0	2.0	congruent_correct	0.479	correct	2	1	incongruent	cond001
150.0	2.0	incongruent_correct	0.57	correct	1	1	congruent	cond003
164.0	2.0	incongruent_correct	0.612	correct	2	1	incongruent	cond003
174.0	2.0	incongruent_correct	0.649	correct	2	1	incongruent	cond003
184.0	2.0	congruent_correct	0.571	correct	2	1	incongruent	cond001
196.0	2.0	congruent_correct	0.487	correct	1	1	congruent	cond001
208.0	2.0	incongruent_correct	0.64	correct	1	1	congruent	cond003
220.0	2.0	incongruent_correct	0.636	correct	2	1	incongruent	cond003
232.0	2.0	congruent_correct	0.454	correct	1	1	congruent	cond001
246.0	2.0	incongruent_correct	0.656	correct	2	1	incongruent	cond003
260.0	2.0	incongruent_correct	0.595	correct	2	1	incongruent	cond003
274.0	2.0	congruent_correct	0.445	correct	1	1	congruent	cond001
