onset	duration	trial_type	response_time	correctness	StimVar	Rsponse	Stimulus	cond
0.0	2.0	incongruent_correct	0.63	correct	2	1	incongruent	cond003
10.0	2.0	congruent_correct	0.496	correct	1	1	congruent	cond001
20.0	2.0	congruent_correct	0.5	correct	1	1	congruent	cond001
30.0	2.0	congruent_correct	0.529	correct	1	1	congruent	cond001
42.0	2.0	incongruent_correct	0.531	correct	2	1	incongruent	cond003
52.0	2.0	incongruent_correct	0.639	correct	2	1	incongruent	cond003
64.0	2.0	incongruent_correct	0.577	correct	2	1	incongruent	cond003
76.0	2.0	congruent_correct	0.532	correct	1	1	congruent	cond001
88.0	2.0	incongruent_correct	0.631	correct	2	1	incongruent	cond003
102.0	2.0	congruent_correct	0.592	correct	1	1	congruent	cond001
116.0	2.0	congruent_correct	0.491	correct	1	1	congruent	cond001
130.0	2.0	congruent_correct	0.436	correct	1	1	congruent	cond001
140.0	2.0	congruent_correct	0.448	correct	1	1	congruent	cond001
150.0	2.0	incongruent_correct	0.588	correct	2	1	incongruent	cond003
164.0	2.0	incongruent_correct	0.646	correct	2	1	incongruent	cond003
174.0	2.0	incongruent_correct	0.538	correct	2	1	incongruent	cond003
184.0	2.0	incongruent_correct	0.893	correct	2	1	incongruent	cond003
196.0	2.0	congruent_correct	0.664	correct	1	1	congruent	cond001
208.0	2.0	congruent_correct	0.667	correct	1	1	congruent	cond001
220.0	2.0	incongruent_correct	0.606	correct	2	1	incongruent	cond003
232.0	2.0	incongruent_correct	0.553	correct	2	1	incongruent	cond003
246.0	2.0	congruent_correct	0.466	correct	1	1	congruent	cond001
260.0	2.0	congruent_correct	0.459	correct	1	1	congruent	cond001
274.0	2.0	incongruent_correct	0.662	correct	2	1	incongruent	cond003
