onset	duration	trial_type	response_time	correctness	StimVar	Rsponse	Stimulus	cond
0.0	2.0	incongruent_correct	0.59	correct	1	1	congruent	cond003
10.0	2.0	congruent_correct	0.474	correct	2	1	incongruent	cond001
20.0	2.0	congruent_correct	0.446	correct	1	1	congruent	cond001
30.0	2.0	incongruent_correct	0.529	correct	2	1	incongruent	cond003
40.0	2.0	congruent_correct	0.485	correct	2	1	incongruent	cond001
52.0	2.0	incongruent_correct	0.536	correct	1	1	congruent	cond003
64.0	2.0	incongruent_correct	0.522	correct	1	1	congruent	cond003
76.0	2.0	congruent_correct	0.421	correct	2	1	incongruent	cond001
88.0	2.0	congruent_correct	0.439	correct	1	1	congruent	cond001
102.0	2.0	congruent_correct	0.451	correct	1	1	congruent	cond001
116.0	2.0	incongruent_correct	0.643	correct	1	1	congruent	cond003
130.0	2.0	incongruent_correct	0.534	correct	2	1	incongruent	cond003
144.0	2.0	congruent_correct	0.479	correct	2	1	incongruent	cond001
154.0	2.0	incongruent_correct	0.524	correct	2	1	incongruent	cond003
164.0	2.0	incongruent_correct	0.51	correct	2	1	incongruent	cond003
174.0	2.0	congruent_correct	0.435	correct	1	1	congruent	cond001
184.0	2.0	incongruent_correct	0.583	correct	2	1	incongruent	cond003
196.0	2.0	incongruent_correct	0.52	correct	2	1	incongruent	cond003
208.0	2.0	congruent_correct	0.435	correct	2	1	incongruent	cond001
220.0	2.0	incongruent_correct	0.535	correct	1	1	congruent	cond003
234.0	2.0	congruent_correct	0.488	correct	2	1	incongruent	cond001
246.0	2.0	congruent_correct	0.466	correct	1	1	congruent	cond001
260.0	2.0	incongruent_correct	0.701	correct	1	1	congruent	cond003
274.0	2.0	congruent_correct	0.479	correct	1	1	congruent	cond001
