onset	duration	trial_type	response_time	correctness	StimVar	Rsponse	Stimulus	cond
0.0	2.0	incongruent_correct	0.884	correct	2	1	incongruent	cond003
10.0	2.0	congruent_correct	1.071	correct	1	1	congruent	cond001
20.0	2.0	congruent_correct	0.955	correct	1	1	congruent	cond001
30.0	2.0	incongruent_correct	1.255	correct	2	1	incongruent	cond003
40.0	2.0	congruent_correct	0.812	correct	1	1	congruent	cond001
52.0	2.0	incongruent_correct	0.822	correct	2	1	incongruent	cond003
64.0	2.0	congruent_correct	0.793	correct	1	1	congruent	cond001
76.0	2.0	incongruent_correct	0.85	correct	2	1	incongruent	cond003
88.0	2.0	congruent_correct	0.765	correct	1	1	congruent	cond001
102.0	2.0	congruent_correct	0.775	correct	1	1	congruent	cond001
116.0	2.0	incongruent_correct	0.946	correct	2	1	incongruent	cond003
130.0	2.0	incongruent_correct	0.891	correct	2	1	incongruent	cond003
144.0	2.0	congruent_correct	0.782	correct	1	1	congruent	cond001
154.0	2.0	congruent_correct	0.753	correct	1	1	congruent	cond001
164.0	2.0	incongruent_correct	0.885	correct	2	1	incongruent	cond003
174.0	2.0	incongruent_correct	0.809	correct	2	1	incongruent	cond003
184.0	2.0	congruent_correct	0.709	correct	1	1	congruent	cond001
196.0	2.0	incongruent_correct	0.806	correct	2	1	incongruent	cond003
208.0	2.0	incongruent_correct	0.777	correct	2	1	incongruent	cond003
220.0	2.0	congruent_correct	0.733	correct	1	1	congruent	cond001
232.0	2.0	incongruent_correct	0.84	correct	2	1	incongruent	cond003
246.0	2.0	congruent_correct	0.713	correct	1	1	congruent	cond001
260.0	2.0	congruent_correct	0.724	correct	1	1	congruent	cond001
274.0	2.0	incongruent_correct	0.829	correct	2	1	incongruent	cond003
