onset	duration	trial_type	response_time	correctness	StimVar	Rsponse	Stimulus	cond
0.0	2.0	congruent_correct	0.382	correct	2	1	incongruent	cond001
10.0	2.0	incongruent_correct	0.498	correct	2	1	incongruent	cond003
20.0	2.0	congruent_correct	0.415	correct	2	1	incongruent	cond001
30.0	2.0	incongruent_correct	0.497	correct	1	1	congruent	cond003
40.0	2.0	congruent_correct	0.381	correct	1	1	congruent	cond001
52.0	2.0	incongruent_correct	0.385	correct	1	1	congruent	cond003
64.0	2.0	congruent_correct	0.379	correct	1	1	congruent	cond001
76.0	2.0	incongruent_incorrect	0.342	incorrect	2	0	incongruent	cond004
88.0	2.0	congruent_correct	0.351	correct	2	1	incongruent	cond001
102.0	2.0	incongruent_correct	0.45	correct	1	1	congruent	cond003
116.0	2.0	incongruent_correct	0.485	correct	1	1	congruent	cond003
130.0	2.0	congruent_correct	0.374	correct	2	1	incongruent	cond001
144.0	2.0	congruent_correct	0.352	correct	1	1	congruent	cond001
154.0	2.0	congruent_correct	0.355	correct	2	1	incongruent	cond001
164.0	2.0	incongruent_correct	0.463	correct	1	1	congruent	cond003
174.0	2.0	incongruent_correct	0.451	correct	2	1	incongruent	cond003
184.0	2.0	congruent_correct	0.406	correct	2	1	incongruent	cond001
196.0	2.0	incongruent_correct	0.482	correct	2	1	incongruent	cond003
208.0	2.0	congruent_correct	0.363	correct	1	1	congruent	cond001
220.0	2.0	congruent_correct	0.311	correct	1	1	congruent	cond001
234.0	2.0	incongruent_incorrect	0.296	incorrect	1	0	congruent	cond004
246.0	2.0	congruent_correct	0.388	correct	2	1	incongruent	cond001
260.0	2.0	incongruent_correct	0.478	correct	1	1	congruent	cond003
274.0	2.0	incongruent_correct	0.486	correct	2	1	incongruent	cond003
