onset	duration	trial_type	response_time	correctness	StimVar	Rsponse	Stimulus	cond
0.0	2.0	congruent_correct	1.752	correct	1	1	congruent	cond001
10.0	2.0	congruent_correct	0.677	correct	1	1	congruent	cond001
20.0	2.0	incongruent_incorrect	1.217	incorrect	2	0	incongruent	cond004
30.0	2.0	congruent_correct	0.771	correct	1	1	congruent	cond001
42.0	2.0	incongruent_correct	2.294	correct	2	1	incongruent	cond003
52.0	2.0	incongruent_correct	1.425	correct	2	1	incongruent	cond003
64.0	2.0	incongruent_incorrect	1.204	incorrect	2	0	incongruent	cond004
76.0	2.0	congruent_correct	0.815	correct	1	1	congruent	cond001
88.0	2.0	incongruent_correct	1.282	correct	2	1	incongruent	cond003
102.0	2.0	incongruent_correct	1.348	correct	2	1	incongruent	cond003
116.0	2.0	congruent_correct	0.901	correct	1	1	congruent	cond001
130.0	2.0	congruent_correct	0.608	correct	1	1	congruent	cond001
144.0	2.0	incongruent_correct	1.241	correct	2	1	incongruent	cond003
154.0	2.0	congruent_correct	0.654	correct	1	1	congruent	cond001
164.0	2.0	congruent_correct	0.778	correct	1	1	congruent	cond001
174.0	2.0	incongruent_correct	1.125	correct	2	1	incongruent	cond003
184.0	2.0	congruent_correct	0.735	correct	1	1	congruent	cond001
196.0	2.0	incongruent_correct	0.963	correct	2	1	incongruent	cond003
208.0	2.0	incongruent_correct	1.534	correct	2	1	incongruent	cond003
220.0	2.0	incongruent_correct	0.92	correct	2	1	incongruent	cond003
234.0	2.0	incongruent_correct	0.931	correct	2	1	incongruent	cond003
248.0	2.0	congruent_correct	0.66	correct	1	1	congruent	cond001
260.0	2.0	congruent_correct	0.574	correct	1	1	congruent	cond001
274.0	2.0	congruent_correct	0.545	correct	1	1	congruent	cond001
